author1,author2,weight
A5000554223,A5107070705,1
A5000554223,A5107406378,1
A5000554223,A5107829728,1
A5000554223,A5107882076,1
A5000554223,A5107883655,1
A5000554223,A5107887430,2
A5000554223,A5107889161,1
A5000554223,A5107889484,1
A5000554223,A5107892012,1
A5000554223,A5107898175,1
A5000554223,A5107902910,1
A5000554223,A5107904984,2
A5000554223,A5107911677,1
A5000554223,A5107913938,2
A5000554223,A5107914476,1
A5000554223,A5107914901,1
A5000554223,A5107917320,1
A5000554223,A5107918686,1
A5000554223,A5107920303,1
A5000554223,A5107920777,1
A5000554223,A5107923227,1
A5000554223,A5107925200,1
A5000554223,A5107939003,2
A5000554223,A5107939945,2
A5000554223,A5107940763,1
A5000554223,A5107948779,1
A5000554223,A5107948783,1
A5000554223,A5108037940,2
A5000554223,A5112450759,1
A5000554223,A5112528745,1
A5000554223,A5112707460,1
A5000554223,A5113824576,1
A5000554223,A5114378001,4
A5000563866,A5091208951,1
A5000571221,A5023350601,1
A5000571221,A5084953297,1
A5000594008,A5001654418,1
A5000594008,A5059722365,1
A5000594008,A5114715803,1
A5000595533,A5005829774,3
A5000595533,A5009227859,1
A5000595533,A5044087282,2
A5000595533,A5060837047,1
A5000595533,A5062755676,2
A5000595533,A5068281692,1
A5000595533,A5069439380,1
A5000595533,A5073364691,2
A5000595533,A5102780207,1
A5000605994,A5037813372,1
A5000611465,A5041636729,2
A5000612383,A5050640115,1
A5000612383,A5070789282,1
A5000619246,A5000164391,1
A5000619246,A5031751294,1
A5000619246,A5033462887,1
A5000619246,A5048484797,1
A5000619246,A5080336181,1
A5000619933,A5018916731,1
A5000619933,A5020009504,1
A5000619933,A5022452774,1
A5000619933,A5075638648,1
A5000635250,A5000717383,1
A5000635250,A5006072539,1
A5000635250,A5018165929,1
A5000635250,A5024107767,1
A5000635250,A5101539944,3
A5000635250,A5101983386,2
A5000635250,A5102941858,1
A5000650126,A5027632156,1
A5000650126,A5028376373,1
A5000650126,A5032441712,1
A5000650126,A5072841592,5
A5000650126,A5074755592,1
A5000650126,A5101279507,1
A5000653140,A5012973242,1
A5000653140,A5071321031,3
A5000653140,A5091682301,1
A5000663345,A5080175512,1
A5000688446,A5048886825,1
A5000688446,A5103637698,1
A5000705241,A5009786101,1
A5000705241,A5015705751,1
A5000705241,A5018374142,1
A5000705241,A5035205261,1
A5000705241,A5051966189,1
A5000712964,A5017176137,4
A5000712964,A5042174485,3
A5000717383,A5000635250,4
A5000717383,A5041070155,1
A5000729511,A5001578642,1
A5000729511,A5009436633,1
A5000729511,A5009737392,1
A5000729511,A5012701075,1
A5000729511,A5020898730,1
A5000729511,A5031303737,1
A5000729511,A5051061786,1
A5000729511,A5057698947,1
A5000729511,A5068152561,1
A5000729511,A5069352801,1
A5000729511,A5069636478,1
A5000729511,A5102764557,1
A5000748964,A5003688869,3
A5000748964,A5018870147,3
A5000748964,A5052586935,3
A5000748964,A5065267509,3
A5000748964,A5065487609,3
A5000748964,A5094302920,2
A5000748964,A5094361178,2
A5000748964,A5094372880,3
A5000748964,A5094372881,3
A5000748964,A5094372882,2
A5000748964,A5094372883,2
A5000748964,A5094372884,2
A5000748964,A5094372885,3
A5000748964,A5094372886,3
A5000748964,A5094372887,3
A5000748964,A5094372888,3
A5000748964,A5094372889,3
A5000748964,A5094372890,3
A5000748964,A5094372891,3
A5000748964,A5094372892,3
A5000748964,A5094372893,3
A5000748964,A5094372894,3
A5000748964,A5094372895,3
A5000748964,A5094372896,3
A5000748964,A5094372897,3
A5000748964,A5094372899,1
A5000748964,A5094372900,3
A5000748964,A5094372901,2
A5000748964,A5100045152,1
A5000748964,A5108092666,2
A5000748964,A5110126969,1
A5000748964,A5114048312,1
A5000827029,A5060751756,1
A5000828273,A5032091977,2
A5000828273,A5056246204,1
A5000828273,A5089839232,1
A5000828273,A5094285694,1
A5000831527,A5007426895,1
A5000831527,A5015709853,8
A5000831527,A5056201855,8
A5000831527,A5110451680,1
A5000834476,A5006358843,1
A5000834476,A5056321920,1
A5000834476,A5086238725,1
A5000841668,A5015116035,2
A5000841668,A5080760938,1
A5000841668,A5091722745,1
A5000862457,A5004698362,1
A5000862457,A5009532380,1
A5000862457,A5015720603,3
A5000862457,A5037268527,4
A5000865835,A5018332715,1
A5000865835,A5020922012,1
A5000875635,A5023207853,4
A5000875635,A5026863381,2
A5000875635,A5027919996,1
A5000875635,A5037708828,1
A5000875635,A5040110248,1
A5000875635,A5052212253,2
A5000875635,A5060055230,1
A5000875635,A5064853539,1
A5000875635,A5072930619,1
A5000875635,A5080393460,2
A5000875635,A5080805788,1
A5000875635,A5081262198,1
A5000875635,A5091059154,1
A5000875635,A5101275181,1
A5000875635,A5106245765,2
A5000875635,A5110794602,1
A5000895294,A5007406357,1
A5000895294,A5011477712,1
A5000895294,A5021189098,1
A5000895294,A5026581021,1
A5000895294,A5042648708,3
A5000895294,A5048150356,2
A5000895294,A5052320430,2
A5000895294,A5073192614,1
A5000895294,A5083345873,1
A5000947923,A5025740124,1
A5000947923,A5054874288,2
A5000947923,A5066871255,1
A5000947923,A5107906324,1
A5000959718,A5012032003,1
A5000959718,A5037937397,1
A5000959718,A5041636729,1
A5000959718,A5051300642,1
A5000959718,A5067872268,2
A5000959718,A5078259466,4
A5000977702,A5001524071,4
A5000977702,A5042492356,2
A5000984333,A5022058942,1
A5000984333,A5061841111,1
A5000993329,A5017768179,1
A5000993329,A5067872268,1
A5000993329,A5075271343,1
A5000993329,A5103071223,1
A5000997821,A5020213713,1
A5000997821,A5052906503,1
A5000997821,A5055013655,2
A5000997821,A5064754640,2
A5000997975,A5009786101,1
A5000997975,A5014057252,3
A5000997975,A5021528836,18
A5000997975,A5044271291,1
A5000997975,A5050431934,1
A5000997975,A5057801752,1
A5000997975,A5062099466,1
A5000997975,A5071855899,1
A5001067069,A5000875635,1
A5001067069,A5023207853,1
A5001067069,A5040110248,1
A5001067069,A5048110653,1
A5001067069,A5064853539,1
A5001067069,A5080805788,1
A5001067069,A5088587686,1
A5001067069,A5101275181,1
A5001079818,A5006894906,1
A5001079818,A5019390205,1
A5001079818,A5027685481,1
A5001079818,A5028198037,1
A5001079818,A5039894660,1
A5001079818,A5042955881,1
A5001079818,A5081832640,1
A5001082133,A5010628869,1
A5001082133,A5014112605,1
A5001082133,A5025026217,1
A5001082133,A5039717161,1
A5001082133,A5040781809,1
A5001082133,A5053366524,1
A5001082133,A5053810721,1
A5001082133,A5061559449,1
A5001082133,A5062991752,1
A5001082133,A5064515089,1
A5001082133,A5064574824,1
A5001082133,A5067279684,1
A5001082133,A5074626207,1
A5001082133,A5085588599,1
A5001082133,A5099000060,1
A5001082133,A5099000061,1
A5001082133,A5099000062,1
A5001082133,A5099000063,1
A5001082133,A5099000064,1
A5001082133,A5099000065,1
A5001082133,A5099000066,1
A5001082133,A5099000067,1
A5001082133,A5101371289,1
A5001082133,A5101483523,1
A5001082133,A5103934707,1
A5001089952,A5038818584,1
A5001089952,A5054262500,1
A5001092946,A5011209376,1
A5001092946,A5011856820,1
A5001092946,A5019606925,1
A5001092946,A5052657343,1
A5001137092,A5016299316,1
A5001137092,A5016304826,1
A5001137092,A5035939824,1
A5001137092,A5051969655,1
A5001137092,A5061272718,1
A5001148118,A5021493301,3
A5001148118,A5058270622,3
A5001148118,A5058699536,3
A5001148118,A5063834923,3
A5001148118,A5065748555,3
A5001157973,A5052320430,1
A5001157973,A5090126708,1
A5001157973,A5112097902,1
A5001174272,A5031231896,1
A5001190144,A5052755079,1
A5001221823,A5000208214,1
A5001221823,A5026718378,1
A5001221823,A5034761121,1
A5001221823,A5102979426,1
A5001221823,A5103960005,1
A5001221823,A5111518405,1
A5001221823,A5112619586,1
A5001229882,A5021872962,1
A5001229882,A5032382943,1
A5001246022,A5004317306,2
A5001246022,A5011443884,1
A5001246022,A5014427809,3
A5001246022,A5030580316,3
A5001246022,A5039267390,1
A5001246022,A5045799758,1
A5001246022,A5052608169,5
A5001246022,A5052755079,3
A5001246022,A5063958392,5
A5001246022,A5069950948,2
A5001246022,A5085958280,2
A5001246022,A5089439837,1
A5001246022,A5091335181,2
A5001250773,A5021354054,2
A5001250773,A5100634965,3
A5001262463,A5002806054,1
A5001304564,A5015705751,3
A5001304564,A5045388022,1
A5001304564,A5046662920,1
A5001304564,A5051917108,1
A5001304564,A5060489656,1
A5001304564,A5081582588,1
A5001309437,A5021710326,1
A5001309437,A5022118312,1
A5001309437,A5022780610,4
A5001309437,A5026292547,1
A5001309437,A5035644166,5
A5001309437,A5036333437,1
A5001309437,A5047277105,4
A5001309437,A5061888967,4
A5001309437,A5103100195,10
A5001309437,A5110195756,1
A5001313322,A5050315265,1
A5001344489,A5027919996,2
A5001344489,A5041537684,1
A5001344489,A5070981700,3
A5001344489,A5081010150,1
A5001350347,A5002817255,1
A5001350347,A5010336667,1
A5001350347,A5015412906,1
A5001350347,A5015521410,1
A5001350347,A5020545786,1
A5001350347,A5031812482,2
A5001350347,A5040647961,1
A5001350347,A5047298979,1
A5001350347,A5047577489,2
A5001350347,A5083053930,1
A5001358374,A5030245559,18
A5001358374,A5042955881,17
A5001362292,A5059257596,2
A5001362292,A5059341943,1
A5001379233,A5103252995,2
A5001440807,A5040762725,2
A5001453396,A5005717647,1
A5001453396,A5006302803,1
A5001453396,A5022452774,3
A5001465172,A5039681652,1
A5001465172,A5056221808,1
A5001465172,A5071737570,1
A5001476012,A5040684139,2
A5001476012,A5111807074,2
A5001504582,A5028592221,1
A5001504582,A5072380606,1
A5001504582,A5076579226,2
A5001504582,A5080922797,2
A5001504582,A5090847512,1
A5001504582,A5095084839,1
A5001504582,A5103061390,3
A5001504582,A5105422658,1
A5001504582,A5108915259,1
A5001504582,A5111853595,1
A5001524071,A5000977702,1
A5001524071,A5042492356,1
A5001524071,A5056115520,1
A5001535511,A5011209376,1
A5001535511,A5066665483,1
A5001535511,A5100428090,1
